combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
10,"(30, 30, 20)",relu,adam,1000,0.8693181818181818,0.01884445903611021,0.6670859133126935,0.038866104080626386
15,"(30, 30, 20)",tanh,lbfgs,100,0.8352272727272727,0.04364287356743527,0.6181372549019608,0.07800589248141693
6,"(16, 16, 16)",tanh,adam,1000,0.8352272727272727,0.009841197770277702,0.6125730994152047,0.03291909429589969
32,"(48, 48, 32)",tanh,lbfgs,1000,0.8522727272727273,0.04685347301838246,0.5850840336134454,0.1488301188582432
16,"(30, 30, 20)",tanh,lbfgs,1000,0.8125,0.024766471270117486,0.5828947368421054,0.04956528474167726
12,"(30, 30, 20)",relu,lbfgs,1000,0.8238636363636364,0.08560522257567822,0.5777777777777777,0.18308063392537868
7,"(16, 16, 16)",tanh,lbfgs,100,0.8181818181818182,0.05567022142689041,0.5707070707070707,0.15024722000650018
18,"(32, 32, 16)",relu,adam,1000,0.8238636363636364,0.040576297889448026,0.5696969696969696,0.10976224409863533
8,"(16, 16, 16)",tanh,lbfgs,1000,0.8125,0.03725817343353411,0.5578775369797041,0.08871740879352993
2,"(16, 16, 16)",relu,adam,1000,0.8125,0.018844459036110258,0.5572878274116664,0.05753032066856862
11,"(30, 30, 20)",relu,lbfgs,100,0.8125,0.07934227297595992,0.5508771929824562,0.1684621660345181
23,"(32, 32, 16)",tanh,lbfgs,100,0.8125000000000001,0.05176382715422897,0.5328947368421052,0.13090103141160866
20,"(32, 32, 16)",relu,lbfgs,1000,0.7897727272727273,0.01884445903611025,0.5318314726209463,0.0211665162126223
35,"(64, 64, 32)",relu,lbfgs,100,0.7954545454545455,0.027835110713445226,0.5259026188660056,0.019797396699439966
31,"(48, 48, 32)",tanh,lbfgs,100,0.8125,0.00984119777027775,0.509090909090909,0.08406019094957694
24,"(32, 32, 16)",tanh,lbfgs,1000,0.8011363636363636,0.04364287356743528,0.5083333333333333,0.0721687836487032
4,"(16, 16, 16)",relu,lbfgs,1000,0.7670454545454546,0.06698764842358863,0.5060378218272955,0.13812038266775337
26,"(48, 48, 32)",relu,adam,1000,0.8068181818181818,0.03768891807222047,0.5041666666666667,0.13129959380490608
36,"(64, 64, 32)",relu,lbfgs,1000,0.7840909090909091,0.03409090909090909,0.49922600619195046,0.0734084062166552
28,"(48, 48, 32)",relu,lbfgs,1000,0.7897727272727273,0.024766471270117475,0.4933780529755762,0.05172349244505874
40,"(64, 64, 32)",tanh,lbfgs,1000,0.7840909090909091,0.04097217358481806,0.48460925039872405,0.08760711254492239
3,"(16, 16, 16)",relu,lbfgs,100,0.7613636363636364,0.06119505462652847,0.47800751879699244,0.11691472448402669
19,"(32, 32, 16)",relu,lbfgs,100,0.7670454545454546,0.05653337710833072,0.4691520467836257,0.11780568944573239
39,"(64, 64, 32)",tanh,lbfgs,100,0.7727272727272728,0.04821182598999188,0.4274122807017544,0.11535567163673702
27,"(48, 48, 32)",relu,lbfgs,100,0.7670454545454545,0.02952359331083311,0.4169891640866873,0.10335262955440365
38,"(64, 64, 32)",tanh,adam,1000,0.8125,0.018844459036110258,0.3078947368421052,0.3080970994908609
34,"(64, 64, 32)",relu,adam,1000,0.8125,0.029523593310833155,0.16666666666666666,0.28867513459481287
1,"(16, 16, 16)",relu,adam,100,0.7954545454545454,0.0,0.0,0.0
5,"(16, 16, 16)",tanh,adam,100,0.7897727272727272,0.009841197770277702,0.0,0.0
9,"(30, 30, 20)",relu,adam,100,0.7954545454545454,0.0,0.0,0.0
14,"(30, 30, 20)",tanh,adam,1000,0.7954545454545454,0.0,0.0,0.0
13,"(30, 30, 20)",tanh,adam,100,0.7954545454545454,0.0,0.0,0.0
21,"(32, 32, 16)",tanh,adam,100,0.7954545454545454,0.0,0.0,0.0
22,"(32, 32, 16)",tanh,adam,1000,0.7954545454545454,0.0,0.0,0.0
17,"(32, 32, 16)",relu,adam,100,0.7954545454545454,0.0,0.0,0.0
25,"(48, 48, 32)",relu,adam,100,0.7954545454545454,0.0,0.0,0.0
29,"(48, 48, 32)",tanh,adam,100,0.7954545454545454,0.0,0.0,0.0
30,"(48, 48, 32)",tanh,adam,1000,0.7954545454545454,0.0,0.0,0.0
33,"(64, 64, 32)",relu,adam,100,0.7954545454545454,0.0,0.0,0.0
37,"(64, 64, 32)",tanh,adam,100,0.7897727272727272,0.009841197770277702,0.0,0.0
