combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
39,"(100,)",relu,adam,1000,0.8352272727272727,0.04057629788944802,0.5828947368421051,0.06840277533657363
30,"(50,)",relu,lbfgs,1000,0.8181818181818182,0.0,0.525,0.043301270189221926
48,"(100,)",tanh,lbfgs,1000,0.8181818181818182,0.027835110713445226,0.5174369747899159,0.10678945671654369
45,"(100,)",tanh,adam,1000,0.8011363636363636,0.06301441196823532,0.5113954672778203,0.11837736816693342
29,"(50,)",relu,lbfgs,100,0.7897727272727273,0.043642873567435285,0.46944444444444444,0.051144312887561015
47,"(100,)",tanh,lbfgs,100,0.7784090909090908,0.07254059849320288,0.45077614379084974,0.17711654708084112
27,"(50,)",relu,adam,1000,0.7727272727272727,0.02783511071344518,0.43734402852049903,0.07906621012672098
36,"(50,)",tanh,lbfgs,1000,0.7613636363636362,0.03409090909090906,0.40145553835569314,0.06055151934236606
24,"(25,)",tanh,lbfgs,1000,0.7329545454545454,0.033614089676702374,0.36532809295967195,0.07360550225104175
7,"(10,)",tanh,adam,10,0.3352272727272727,0.05176382715422897,0.3605359216857475,0.026017036578436306
35,"(50,)",tanh,lbfgs,100,0.7840909090909091,0.04097217358481806,0.3375,0.14062114192238503
33,"(50,)",tanh,adam,1000,0.7954545454545454,0.03214121732666126,0.3259975318798849,0.1002747099388898
1,"(10,)",relu,adam,10,0.4034090909090909,0.05176382715422897,0.3202842377260982,0.06357888882057972
26,"(50,)",relu,adam,100,0.7045454545454546,0.01607060866333065,0.3162280701754386,0.011793271631358552
42,"(100,)",relu,lbfgs,1000,0.8068181818181818,0.05681818181818181,0.315359477124183,0.31980676675699865
31,"(50,)",tanh,adam,10,0.6306818181818182,0.049205988851388556,0.3119047619047619,0.07237420294036241
43,"(100,)",tanh,adam,10,0.6193181818181818,0.06503138149011137,0.3104288499025341,0.054604822798196194
19,"(25,)",tanh,adam,10,0.6363636363636364,0.04821182598999187,0.3060897435897436,0.04787536241165782
38,"(100,)",relu,adam,100,0.6931818181818181,0.04685347301838252,0.2651315789473684,0.044341107455759386
41,"(100,)",relu,lbfgs,100,0.7954545454545455,0.042518833940612975,0.25427350427350426,0.25643696442099606
28,"(50,)",relu,lbfgs,10,0.6875,0.06503138149011133,0.21458333333333332,0.16524130083002855
37,"(100,)",relu,adam,10,0.7215909090909092,0.051763827154228975,0.2035189075630252,0.08223647856895254
23,"(25,)",tanh,lbfgs,100,0.7386363636363636,0.0468534730183825,0.1975371120107962,0.1285415139111513
4,"(10,)",relu,lbfgs,10,0.6875,0.09144020988313115,0.19736024844720496,0.16272840008423237
3,"(10,)",relu,adam,1000,0.7727272727272727,0.04821182598999187,0.19655344655344656,0.16729520060069808
8,"(10,)",tanh,adam,100,0.5965909090909091,0.09422229518055114,0.19500811688311687,0.1227131733960299
32,"(50,)",tanh,adam,100,0.7784090909090908,0.009841197770277704,0.18831168831168832,0.11670260230916511
40,"(100,)",relu,lbfgs,10,0.6988636363636364,0.0669876484235886,0.1794871794871795,0.18040060614705497
2,"(10,)",relu,adam,100,0.6761363636363635,0.10943954706964898,0.17518592518592518,0.03064692510929274
25,"(50,)",relu,adam,10,0.7670454545454546,0.009841197770277704,0.16346153846153846,0.005551444896054086
12,"(10,)",tanh,lbfgs,1000,0.7329545454545454,0.043642873567435264,0.1456140350877193,0.1466460994560984
6,"(10,)",relu,lbfgs,1000,0.7556818181818182,0.04057629788944798,0.14545454545454545,0.16464336614795305
44,"(100,)",tanh,adam,100,0.7329545454545454,0.054201090989599174,0.10427807486631016,0.10597818814228029
21,"(25,)",tanh,adam,1000,0.7670454545454545,0.03725817343353406,0.10049019607843138,0.10337792504393697
5,"(10,)",relu,lbfgs,100,0.75,0.03593497341100428,0.1,0.17320508075688776
17,"(25,)",relu,lbfgs,100,0.7556818181818181,0.01884445903611021,0.08333333333333333,0.08333333333333333
16,"(25,)",relu,lbfgs,10,0.7556818181818181,0.01884445903611021,0.08333333333333333,0.08333333333333333
18,"(25,)",relu,lbfgs,1000,0.7556818181818181,0.01884445903611021,0.08333333333333333,0.08333333333333333
11,"(10,)",tanh,lbfgs,100,0.7556818181818182,0.04057629788944798,0.07692307692307693,0.13323467750529827
14,"(25,)",relu,adam,100,0.6306818181818181,0.05176382715422893,0.07472826086956522,0.07670315313191545
15,"(25,)",relu,adam,1000,0.6306818181818181,0.05176382715422893,0.07472826086956522,0.07670315313191545
13,"(25,)",relu,adam,10,0.6477272727272727,0.03768891807222042,0.05625,0.05694020986965188
20,"(25,)",tanh,adam,100,0.7840909090909091,0.019682395540555408,0.045454545454545456,0.07872958216222169
9,"(10,)",tanh,adam,1000,0.7840909090909091,0.019682395540555408,0.045454545454545456,0.07872958216222169
10,"(10,)",tanh,lbfgs,10,0.7784090909090909,0.02952359331083311,0.0,0.0
22,"(25,)",tanh,lbfgs,10,0.7784090909090909,0.01884445903611021,0.0,0.0
34,"(50,)",tanh,lbfgs,10,0.7840909090909091,0.019682395540555408,0.0,0.0
46,"(100,)",tanh,lbfgs,10,0.7840909090909091,0.019682395540555408,0.0,0.0
